"","seals","noise","month","tide","date","time","j.date","site"
"87",10,56.65,11,2.16,2020-11-18,13,2459172.042,"waterfront"
"88",11,44.2,11,2.2,2020-11-16,11,2459169.958,"marina"
"89",11,45.4,8,2.23,2021-08-17,15,2459444.129,"waterfront"
"90",11,48.4,9,0.08,2020-09-01,12,2459094.002,"waterfront"
"91",11,55.45,11,2.08,2020-11-16,9,2459169.91,"waterfront"
"92",12,45.4,11,2.06,2020-11-28,12,2459183.91,"waterfront"
"93",12,47.75,11,2.17,2020-11-22,14,2459178.154,"waterfront"
"94",12,48.6,11,2.08,2020-11-23,9,2459182.018,"waterfront"
"95",12,49.3,7,-0.54,2020-07-21,11,2459051.979,"waterfront"
"96",12,52.7,8,0.67,2020-08-28,10,2459089.949,"waterfront"
"97",12,53,8,0.6,2020-08-15,12,2459077.015,"waterfront"
"98",12,54.55,8,-0.27,2020-08-17,9,2459078.882,"waterfront"
"99",12,54.8,9,1.96,2020-09-09,11,2459101.96,"waterfront"
"100",13,44.45,8,0.89,2020-08-04,15,2459066.137,"waterfront"
"101",13,51.1,11,2.11,2020-11-19,14,2459173.112,"waterfront"
"102",14,45.45,7,1.12,2020-07-13,8,2459043.861,"waterfront"
"103",14,45.95,7,0.17,2021-07-27,15,2459423.129,"waterfront"
"104",14,49.6,8,2.26,2020-08-14,16,2459076.199,"waterfront"
"105",14,50.35,8,1.75,2020-08-11,12,2459073,"waterfront"
"106",14,51.55,7,2.07,2021-08-03,15,2459430.13,"waterfront"
"107",15,35.4,6,0.1,2021-06-14,12,2459380.021,"marina"
"108",15,36.7,10,1.33,2020-10-26,11,2459148.972,"marina"
"109",15,47.85,9,1.27,2020-09-05,10,2459097.953,"waterfront"
"110",16,43.3,7,1.54,2020-07-13,11,2459043.972,"marina"
"111",16,48.35,7,1.2,2020-07-27,8,2459057.851,"waterfront"
"112",16,52.9,8,2.01,2020-08-21,18,2459083.26,"waterfront"
"113",16,53.95,7,-0.19,2020-07-31,10,2459061.924,"waterfront"
"114",16,56.4,7,0.14,2020-07-20,8,2459050.865,"waterfront"
"115",16,56.6,11,2.58,2020-11-12,13,2459168.044,"waterfront"
"116",16,56.85,7,-0.28,2020-07-07,14,2459038.083,"waterfront"
"117",17,45,7,2.43,2020-07-18,17,2459049.234,"waterfront"
"118",17,46,8,2.25,2020-08-27,16,2459089.197,"waterfront"
"119",17,50.35,7,0.69,2020-07-24,16,2459055.181,"waterfront"
"120",17,56.05,8,0.41,2020-08-03,8,2459064.851,"waterfront"
"121",17,59.3,7,2.21,2020-07-16,16,2459047.204,"waterfront"
"122",17,62.9,7,0.72,2020-07-15,10,2459045.925,"waterfront"
"123",18,47.25,8,0.85,2020-08-22,11,2459083.998,"waterfront"
"124",18,48.8,7,1.73,2020-07-28,15,2459059.144,"waterfront"
"125",18,50.2,9,1.78,2020-09-08,12,2459101.018,"waterfront"
"126",20,38.7,11,2.03,2020-11-02,11,2459155.972,"marina"
"127",20,39.7,7,0.09,2021-07-06,10,2459401.938,"marina"
"128",20,44.1,7,1.01,2020-07-06,8,2459036.844,"waterfront"
"129",20,52.65,7,-0.41,2020-07-22,11,2459052.991,"waterfront"
"130",20,54.2,8,-0.14,2020-08-05,12,2459067.037,"waterfront"
"131",22,55.2,11,2.68,2020-11-20,11,2459173.979,"waterfront"
"132",23,37.1,7,1.62,2021-07-02,12,2459398,"marina"
"133",23,49.85,8,1.01,2020-08-08,12,2459070,"waterfront"
"134",24,52.2,11,2.48,2020-11-09,10,2459162.951,"marina"
"135",26,33.1,8,2.11,2020-08-24,9,2459085.903,"marina"
"136",28,36.2,8,-0.06,2020-08-03,10,2459064.924,"marina"
"137",29,47.1,7,2.32,2020-07-30,16,2459061.194,"waterfront"
"138",30,35.9,8,0.63,2021-08-10,10,2459436.938,"marina"
"139",31,49.5,9,2.58,2020-09-21,9,2459113.91,"marina"
"140",34,54.05,9,0.09,2020-09-02,11,2459094.967,"waterfront"
"141",38,38,7,-0.58,2020-07-20,11,2459050.972,"marina"
"142",40,48,8,1.81,2021-08-16,11,2459442.986,"marina"
"143",40,52.35,9,0.4,2020-09-28,10,2459119,"waterfront"
"144",47,40,10,2.15,2020-10-05,11,2459127.958,"marina"
"145",48,33.2,7,1.24,2020-07-27,16,2459058.181,"marina"
"146",55,34.2,7,1.16,2021-07-27,10,2459422.944,"marina"
"147",55,40.2,9,0.57,2020-09-28,11,2459120.979,"marina"
"148",60,40.5,7,0.6,2021-07-20,11,2459415.986,"marina"
"149",62,39.2,6,0.76,2021-06-09,14,2459375.104,"marina"
"150",64,36.1,8,0.18,2020-08-31,9,2459092.892,"marina"
"151",70,34.8,9,0.71,2020-09-13,11,2459105.958,"marina"
"152",72,37.1,8,1.12,2021-08-02,11,2459428.965,"marina"
"153",81,37.7,8,-0.4,2020-08-17,10,2459078.934,"marina"
"154",82,31.7,8,1.53,2020-08-10,15,2459072.149,"marina"
"155",83,32,8,-0.01,2021-08-23,11,2459449.979,"marina"
