"","seals","noise","month","tide","date","time","j.date","site","year","id"
"87",10,56.65,11,2.16,2020-11-18,13,136,"waterfront",2020,97
"88",11,44.2,11,2.2,2020-11-16,11,126,"marina",2020,17
"89",11,45.4,8,2.23,2021-08-17,15,408,"waterfront",2021,119
"90",11,48.4,9,0.08,2020-09-01,12,58,"waterfront",2020,47
"91",11,55.45,11,2.08,2020-11-16,9,133,"waterfront",2020,96
"92",12,45.4,11,2.06,2020-11-28,12,147,"waterfront",2020,104
"93",12,47.75,11,2.17,2020-11-22,14,142,"waterfront",2020,101
"94",12,48.6,11,2.08,2020-11-23,9,146,"waterfront",2020,102
"95",12,49.3,7,-0.54,2020-07-21,11,15,"waterfront",2020,14
"96",12,52.7,8,0.67,2020-08-28,10,53,"waterfront",2020,45
"97",12,53,8,0.6,2020-08-15,12,41,"waterfront",2020,34
"98",12,54.55,8,-0.27,2020-08-17,9,42,"waterfront",2020,35
"99",12,54.8,9,1.96,2020-09-09,11,65,"waterfront",2020,51
"100",13,44.45,8,0.89,2020-08-04,15,30,"waterfront",2020,25
"101",13,51.1,11,2.11,2020-11-19,14,137,"waterfront",2020,98
"102",14,45.45,7,1.12,2020-07-13,8,7,"waterfront",2020,7
"103",14,45.95,7,0.17,2021-07-27,15,387,"waterfront",2021,114
"104",14,49.6,8,2.26,2020-08-14,16,40,"waterfront",2020,33
"105",14,50.35,8,1.75,2020-08-11,12,37,"waterfront",2020,31
"106",14,51.55,7,2.07,2021-08-03,15,394,"waterfront",2021,115
"107",15,35.4,6,0.1,2021-06-14,12,337,"marina",2021,21
"108",15,36.7,10,1.33,2020-10-26,11,105,"marina",2020,14
"109",15,47.85,9,1.27,2020-09-05,10,61,"waterfront",2020,49
"110",16,43.3,7,1.54,2020-07-13,11,0,"marina",2020,1
"111",16,48.35,7,1.2,2020-07-27,8,21,"waterfront",2020,19
"112",16,52.9,8,2.01,2020-08-21,18,47,"waterfront",2020,39
"113",16,53.95,7,-0.19,2020-07-31,10,25,"waterfront",2020,22
"114",16,56.4,7,0.14,2020-07-20,8,14,"waterfront",2020,13
"115",16,56.6,11,2.58,2020-11-12,13,132,"waterfront",2020,92
"116",16,56.85,7,-0.28,2020-07-07,14,2,"waterfront",2020,2
"117",17,45,7,2.43,2020-07-18,17,13,"waterfront",2020,12
"118",17,46,8,2.25,2020-08-27,16,53,"waterfront",2020,44
"119",17,50.35,7,0.69,2020-07-24,16,19,"waterfront",2020,17
"120",17,56.05,8,0.41,2020-08-03,8,28,"waterfront",2020,24
"121",17,59.3,7,2.21,2020-07-16,16,11,"waterfront",2020,10
"122",17,62.9,7,0.72,2020-07-15,10,9,"waterfront",2020,9
"123",18,47.25,8,0.85,2020-08-22,11,47,"waterfront",2020,40
"124",18,48.8,7,1.73,2020-07-28,15,23,"waterfront",2020,20
"125",18,50.2,9,1.78,2020-09-08,12,65,"waterfront",2020,50
"126",20,38.7,11,2.03,2020-11-02,11,112,"marina",2020,15
"127",20,39.7,7,0.09,2021-07-06,10,358,"marina",2021,23
"128",20,44.1,7,1.01,2020-07-06,8,0,"waterfront",2020,1
"129",20,52.65,7,-0.41,2020-07-22,11,16,"waterfront",2020,15
"130",20,54.2,8,-0.14,2020-08-05,12,31,"waterfront",2020,26
"131",22,55.2,11,2.68,2020-11-20,11,137,"waterfront",2020,99
"132",23,37.1,7,1.62,2021-07-02,12,355,"marina",2021,22
"133",23,49.85,8,1.01,2020-08-08,12,34,"waterfront",2020,29
"134",24,52.2,11,2.48,2020-11-09,10,119,"marina",2020,16
"135",26,33.1,8,2.11,2020-08-24,9,42,"marina",2020,7
"136",28,36.2,8,-0.06,2020-08-03,10,21,"marina",2020,4
"137",29,47.1,7,2.32,2020-07-30,16,25,"waterfront",2020,21
"138",30,35.9,8,0.63,2021-08-10,10,393,"marina",2021,27
"139",31,49.5,9,2.58,2020-09-21,9,70,"marina",2020,10
"140",34,54.05,9,0.09,2020-09-02,11,58,"waterfront",2020,48
"141",38,38,7,-0.58,2020-07-20,11,7,"marina",2020,2
"142",40,48,8,1.81,2021-08-16,11,399,"marina",2021,28
"143",40,52.35,9,0.4,2020-09-28,10,83,"waterfront",2020,60
"144",47,40,10,2.15,2020-10-05,11,84,"marina",2020,12
"145",48,33.2,7,1.24,2020-07-27,16,15,"marina",2020,3
"146",55,34.2,7,1.16,2021-07-27,10,379,"marina",2021,25
"147",55,40.2,9,0.57,2020-09-28,11,77,"marina",2020,11
"148",60,40.5,7,0.6,2021-07-20,11,372,"marina",2021,24
"149",62,39.2,6,0.76,2021-06-09,14,332,"marina",2021,20
"150",64,36.1,8,0.18,2020-08-31,9,49,"marina",2020,8
"151",70,34.8,9,0.71,2020-09-13,11,62,"marina",2020,9
"152",72,37.1,8,1.12,2021-08-02,11,385,"marina",2021,26
"153",81,37.7,8,-0.4,2020-08-17,10,35,"marina",2020,6
"154",82,31.7,8,1.53,2020-08-10,15,29,"marina",2020,5
"155",83,32,8,-0.01,2021-08-23,11,406,"marina",2021,29
