seals,noise,month,tide,date,time,j.date,site
3,59.4,11,2.69,11/21/2020,12,2459175.017,waterfront
12,47.75,11,2.17,11/22/2020,14,2459178.154,waterfront
12,48.6,11,2.08,11/23/2020,9,2459182.018,waterfront
1,68.85,11,2.06,11/24/2020,15,2459183.009,waterfront
12,45.4,11,2.06,11/28/2020,12,2459183.91,waterfront
3,43.6,11,2.06,11/29/2020,12,2459185.143,waterfront
0,58.65,11,2.06,11/30/2020,9,2459185.957,waterfront
2,44.05,6,1.99,6/7/2021,15,2459373.166,waterfront
0,52.25,6,-0.21,6/28/2021,15,2459394.128,waterfront
1,56.45,6,0.06,6/29/2021,15,2459395.135,waterfront
0,51.6,6,2.12,7/6/2021,15,2459402.132,waterfront
3,56.95,7,0.76,7/16/2021,15,2459412.128,waterfront
10,53.85,7,2.13,7/20/2021,15,2459416.127,waterfront
6,56.45,7,1.89,7/21/2021,15,2459417.138,waterfront
14,45.95,7,0.17,7/27/2021,15,2459423.129,waterfront
14,51.55,7,2.07,8/3/2021,15,2459430.13,waterfront
5,57.7,8,1.55,8/6/2021,15,2459433.13,waterfront
10,46.95,8,0.5,8/10/2021,15,2459437.127,waterfront
6,51.15,8,0.6,8/12/2021,15,2459439.13,waterfront
11,45.4,8,2.23,8/17/2021,15,2459444.129,waterfront
3,43.65,8,0.71,8/24/2021,15,2459451.128,waterfront
8,46.95,8,0.85,8/26/2021,15,2459453.126,waterfront
2,46.45,8,2.21,8/31/2021,15,2459458.132,waterfront
7,48,8,0.72,9/8/2021,10,2459465.921,waterfront
10,47.15,9,2.27,9/14/2021,15,2459472.131,waterfront
6,43.3,9,2.11,9/15/2021,13,2459473.042,waterfront
4,52.65,9,2.22,9/29/2021,15,2459487.163,waterfront
