seals,noise,month,tide,date,time,location,j.date,site
0,52.4,11,2.14,11/14/2020,13,1,2459166.961,waterfront
5,49.2,11,2.05,11/15/2020,11,1,2459168.044,waterfront
0,55.7,11,2.08,11/16/2020,9,1,2459169.91,waterfront
0,57.3,11,2.16,11/18/2020,13,1,2459172.042,waterfront
0,49.2,11,2.11,11/19/2020,14,1,2459173.112,waterfront
0,54.8,11,2.68,11/20/2020,11,1,2459173.979,waterfront
0,59.4,11,2.69,11/21/2020,12,1,2459175.017,waterfront
0,45.8,11,2.17,11/22/2020,14,1,2459178.154,waterfront
0,47.2,11,2.08,11/23/2020,9,1,2459182.018,waterfront
0,74.4,11,2.06,11/24/2020,15,1,2459183.009,waterfront
0,44,11,2.06,11/28/2020,12,1,2459183.91,waterfront
0,42.3,11,2.06,11/29/2020,12,1,2459185.143,waterfront
0,58.7,11,2.06,11/30/2020,9,1,2459185.957,waterfront
0,43.5,6,1.99,6/7/2021,15,1,2459373.166,waterfront
0,52,6,-0.21,6/28/2021,15,1,2459394.128,waterfront
0,55.3,6,0.06,6/29/2021,15,1,2459395.135,waterfront
0,50.1,6,2.12,7/6/2021,15,1,2459402.132,waterfront
0,58.4,7,0.76,7/16/2021,15,1,2459412.128,waterfront
3,53.4,7,2.13,7/20/2021,15,1,2459416.127,waterfront
1,55.5,7,1.89,7/21/2021,15,1,2459417.138,waterfront
0,48,7,0.17,7/27/2021,15,1,2459423.129,waterfront
13,56.4,7,2.07,8/3/2021,15,1,2459430.13,waterfront
2,57.7,8,1.55,8/6/2021,15,1,2459433.13,waterfront
0,53.8,8,0.5,8/10/2021,15,1,2459437.127,waterfront
0,52.2,8,0.6,8/12/2021,15,1,2459439.13,waterfront
6,46.6,8,2.23,8/17/2021,15,1,2459444.129,waterfront
0,45.2,8,0.71,8/24/2021,15,1,2459451.128,waterfront
5,46,8,0.85,8/26/2021,15,1,2459453.126,waterfront
2,46.1,8,2.21,8/31/2021,15,1,2459458.132,waterfront
5,46.8,8,0.72,9/8/2021,10,1,2459465.921,waterfront
6,46.4,9,2.27,9/14/2021,15,1,2459472.131,waterfront
3,42.7,9,2.11,9/15/2021,13,1,2459473.042,waterfront
3,57.5,9,2.22,9/29/2021,15,1,2459487.163,waterfront
17,44.7,7,1.01,7/6/2020,8,2,2459036.844,waterfront
7,58.2,7,-0.28,7/7/2020,14,2,2459038.083,waterfront
4,53.3,7,-0.21,7/8/2020,13,2,2459039.067,waterfront
5,61.3,7,0.44,7/9/2020,16,2,2459040.172,waterfront
8,46,7,0.7,7/10/2020,12,2,2459041.031,waterfront
6,69.4,7,0.78,7/11/2020,14,2,2459042.11,waterfront
14,44.1,7,1.12,7/13/2020,8,2,2459043.861,waterfront
9,46.2,7,1.09,7/14/2020,10,2,2459044.924,waterfront
17,62,7,0.72,7/15/2020,10,2,2459045.925,waterfront
17,45.2,7,2.21,7/16/2020,16,2,2459047.204,waterfront
10,56,7,0.68,7/17/2020,12,2,2459048.01,waterfront
3,45.9,7,2.43,7/18/2020,17,2,2459049.234,waterfront
10,53.5,7,0.14,7/20/2020,8,2,2459050.865,waterfront
10,48.1,7,-0.54,7/21/2020,11,2,2459051.979,waterfront
18,52.8,7,-0.41,7/22/2020,11,2,2459052.991,waterfront
