"","noise","site","fit","se.fit","residual.scale","UL","LL","seals"
"1",31.7,"marina",4.18554347668788,0.258138763002172,1,109.016086310685,39.6302018757849,65.7292135066321
"2",32.0964646464646,"marina",4.15472311142493,0.249921686879154,1,104.018588391933,39.0513171340432,63.734314800811
"3",32.4929292929293,"marina",4.12390274616199,0.24186994647353,1,99.2823529990042,38.4684202353302,61.7999617889695
"4",32.8893939393939,"marina",4.09308238089904,0.23400060954632,1,94.7956550694441,37.8806787350107,59.9243168935659
"5",33.2858585858586,"marina",4.0622620156361,0.22633270279689,1,90.5474581874821,37.2871930622465,58.1055983080145
"6",33.6823232323232,"marina",4.03144165037315,0.218887396322851,1,86.5273844580481,36.6869957701734,56.3420783040223
"7",34.0787878787879,"marina",4.00062128511021,0.211688178718141,1,82.7256834428633,36.0790532598079,54.6320815902989
"8",34.4752525252525,"marina",3.96980091984726,0.204761008435116,1,79.1331990341016,35.4622710257411,52.9739837210797
"9",34.8717171717172,"marina",3.93898055458432,0.198134421462003,1,75.7413328975933,34.8355037190207,51.3662095529512
"10",35.2681818181818,"marina",3.90816018932137,0.19183956887763,1,72.5420028909099,34.1975715528636,49.8072317485115
"11",35.6646464646465,"marina",3.87733982405843,0.185910150967026,1,69.5275947098597,33.5472847320889,48.2955693254458
"12",36.0611111111111,"marina",3.84651945879548,0.180382208391973,1,66.6909050294239,32.883477577927,46.8297862496373
"13",36.4575757575758,"marina",3.81569909353254,0.175293727219497,1,64.0250747042319,32.2050537238935,45.4084900709777
"14",36.8540404040404,"marina",3.78487872826959,0.170684016026681,1,61.5235113224889,31.5110430325491,44.0303306005811
"15",37.250505050505,"marina",3.75405836300665,0.16659282300821,1,59.1798016958856,30.8006695971541,42.6939986281453
"16",37.6469696969697,"marina",3.7232379977437,0.163059182062981,1,56.9876167702189,30.0734282926833,41.3982246782407
"17",38.0434343434343,"marina",3.69241763248076,0.160120010800047,1,54.9406138470451,29.3291649376104,40.1417778043468
"18",38.439898989899,"marina",3.66159726721781,0.157808528567125,1,53.0323435567427,28.5681525802128,38.9234644194898
"19",38.8363636363636,"marina",3.63077690195487,0.156152612353398,1,51.2561710841413,27.7911543646557,37.7421271623708
"20",39.2328282828283,"marina",3.59995653669192,0.155173251004852,1,49.6052219114187,26.999462670735,36.5966437979069
"21",39.6292929292929,"marina",3.56913617142898,0.154883279072967,1,48.072361088433,26.19490547776,35.4859261511413
"22",40.0257575757576,"marina",3.53831580616603,0.155286558567473,1,46.6502114959483,25.3798144497201,34.4089190735101
"23",40.4222222222222,"marina",3.50749544090309,0.156377726142246,1,45.3312111970244,24.5569546109306,33.3645994404824
"24",40.8186868686869,"marina",3.47667507564014,0.158142543363463,1,44.107703980565,23.7294214744002,32.3519751796224
"25",41.2151515151515,"marina",3.4458547103772,0.160558798064339,1,42.972052158543,22.9005165293149,31.3700843281508
"26",41.6116161616162,"marina",3.41503434511425,0.163597628578842,1,41.9167579116803,22.0736147623737,30.4179941191084
"27",42.0080808080808,"marina",3.38421397985131,0.167225097828441,1,40.9345795492217,21.2520378183686,29.4948000952554
"28",42.4045454545455,"marina",3.35339361458836,0.171403837288428,1,40.0186316002493,20.4389438550312,28.5996252498643
"29",42.8010101010101,"marina",3.32257324932542,0.176094606268957,1,39.1624616730218,19.6372411295087,27.7316191935897
"30",43.1974747474747,"marina",3.29175288406247,0.181257656674678,1,38.3601013138654,18.8495280600806,26.8899573466237
"31",43.5939393939394,"marina",3.26093251879953,0.18685384308525,1,37.6060917254079,18.0780588797119,26.0738401553697
"32",43.990404040404,"marina",3.23011215353658,0.192845461638625,1,36.8954876753543,17.3247315277975,25.2824923328907
"33",44.3868686868687,"marina",3.19929178827363,0.199196833056794,1,36.223844182228,16.5910931723495,24.5151621224094
"34",44.7833333333333,"marina",3.16847142301069,0.205874664180549,1,35.5871908242751,15.8783584961638,23.7711205831621
"35",45.179797979798,"marina",3.13765105774774,0.212848230505697,1,34.9819981128624,15.1874362863813,23.0496608979266
"36",45.5762626262626,"marina",3.1068306924848,0.220089422584808,1,34.4051396190961,14.5189606204169,22.3500977015673
"37",45.9727272727273,"marina",3.07601032722186,0.227572694900722,1,33.8538526832977,13.8733238012337,21.671766429958
"38",46.3691919191919,"marina",3.04518996195891,0.235274949413224,1,33.3256997238416,13.250709008936,21.0140226886668
"39",46.7656565656566,"marina",3.01436959669596,0.243175379108923,1,32.8185314720076,12.6511213263278,20.3762416408001
"40",47.1621212121212,"marina",2.98354923143302,0.251255290520413,1,32.3304529178826,12.0744163384845,19.7578174134262
"41",47.5585858585859,"marina",2.95272886617007,0.259497918778901,1,31.8597923529615,11.5203259065122,19.1581625220145
"42",47.9550505050505,"marina",2.92190850090713,0.267888244447232,1,31.405073617092,10.9884809943774,18.5767073123425
"43",48.3515151515152,"marina",2.89108813564418,0.276412818085222,1,30.9649914753737,10.4784316103993,18.0128994193412
"44",48.7479797979798,"marina",2.86026777038124,0.285059596079423,1,30.5383899402445,9.9896640360064,17.466203242365
"45",49.1444444444444,"marina",2.82944740511829,0.293817789554118,1,30.1242432946145,9.52161557433933,16.936099436387
"46",49.5409090909091,"marina",2.79862703985535,0.302677727007337,1,29.7216395472442,9.07368707652084,16.422084418637
"47",49.9373737373737,"marina",2.7678066745924,0.311630730545855,1,29.3297660493938,8.64525350612883,15.9236698902125
"48",50.3338383838384,"marina",2.73698630932946,0.320669005114485,1,28.94789701333,8.23567279136915,15.4403823722095
"49",50.730303030303,"marina",2.70616594406651,0.329785539840726,1,28.5753826924917,7.84429319572362,14.971762755932
